node_1,node_2,edge
Cambered airfoil section,Symmetrical airfoil section,The aerodynamical characteristics of five of the modified sections are presented; three of those are symmetrical and two are cambered with the NACA mean line a = 0.8 (modified).
Cambered airfoil section,Shock,Shock develops shortly after formation on the rear portion of the cambered airfoil.
Cambered airfoil section,Flow separation,A cambered airfoil section can experience flow separation	 leading to force-break.
Airfoil Design Optimization,Simulated Annealing,Used to search designs for airfoils and evaluate their performance
center of pressure,stall,As stall begins	 the center of pressure moves away from the pitch axis and toward the midchord.
center of pressure,reduced frequency,An increase in reduced frequency causes the center of pressure to move forward toward the quarter-chord location.
center of pressure,camber location,The camber location influences the center of pressure on an airfoil. Moving camber towards the leading edge shifts the CP forward	 while moving it towards the trailing edge shifts it aft.
Leading-edge roughness,Lift coefficient,Roughness on the leading edge causes large reductions in lift coefficient	 particularly for thicker sections.
Experimental data,DSMC,DSMC calculation compares better with experimental data for boundary conditions than freestream conditions.
Experimental data,Navier-Stokes,Navier-Stokes calculation compares well with experimental data but has less scatter than DSMC.
Drag coefficient (CD),Angle of attack,The drag coefficient also increases with increasing angle of attack	 but at a faster rate than the lift coefficient.
Drag coefficient (CD),Airfoil,Airfoil has a drag coefficient (CD) that varies with Reynolds number and angle of attack
Drag coefficient (CD),Camber,Higher camber values can also increase the drag coefficient due to flow separation.
Drag coefficient (CD),Thickness ratio,A higher thickness ratio increases the drag coefficient because a thicker airfoil causes more flow disruption and separation.
NACA airfoil,Mean camber line,The NACA airfoil is defined by its mean camber line.
NACA airfoil,Camber distribution,The NACA airfoil has a symmetrical thickness distribution and camber distribution.
NACA airfoil,Thickness distribution,NACA airfoils are also defined by their thickness distribution	 with NACA 63-012 following the basic thickness form with a maximum thickness of 0.22 percent chord.
NACA airfoil,Thickness ratio,The thickness ratio affects the minimum drag of an airfoil.
NACA airfoil,Maximum thickness location,The NACA airfoil series indicates the location of maximum thickness.
NACA airfoil,Camber,Influence of camber on NACA airfoils
NACA airfoil,Cl,'Cl' represents lift coefficient of NACA airfoils
NACA airfoil,Reynolds number,The performance of NACA airfoils varies with Reynolds number
NACA airfoil,Manufacturability,NACA airfoils are designed for easy manufacturability
NACA airfoil,camber,NACA airfoils are characterized by their camber line	 with '4' series having positive camber and '6' series having negative camber
NACA airfoil,Airfoil coordinates,The NACA airfoil has specific coordinates that define its shape.
NACA airfoil,Airfoil,Airfoils can be categorized as NACA airfoils
time,pressure,The pressure increases between certain time intervals	 specifically between 100 and 190 milliseconds.
NACA four-digit wing-section numbering system,maximum thickness (T),The third and fourth digits in NACA four-digit system represent T	 the maximum thickness.
NACA four-digit wing-section numbering system,maximum ordinate of mean line (M),The first two integers in NACA four-digit system represent M	 the maximum ordinate of mean line for symmetrical sections.
NACA four-digit wing-section numbering system,chordwise position of maximum ordinate (C%),The third and fourth digits in NACA four-digit system represent C%	 the chordwise position of maximum ordinate.
NACA four-digit wing-section numbering system,airfoil design,The NACA four-digit system is used to represent and identify different airfoil geometries based on their design parameters
Leading Edge Radius,Maximum Lift Coefficient,Decreasing leading-edge radius increases maximum lift coefficient.
