node_1,node_2,edge
NACA RM No. L7I22,Airfoil section,NACA RM No. L7I22 is an airfoil section
NACA RM No. L7I22,Airfoil shape,NACA RM No. L7I22 is a specific airfoil shape.
NACA RM No. L7I22,Thickness distribution,NACA RM No. L7I22 has a thickness distribution defined by the given table.
NACA RM No. L7I22,Airfoil,NACA RM No. L7I22 is an airfoil
Airfoil Upper Surface,X/C,The Airfoil Upper Surface is defined by X/C coordinates
Airfoil Upper Surface,Camber,The airfoil upper surface contributes to the overall camber of the airfoil.
Airfoil Upper Surface,Pressure Distribution,The airfoil upper surface has a pressure distribution that varies with chord length (X/C).
NACA airfoil,Drag divergence Mach number,The drag divergence Mach number varies with the geometric parameters of the NACA airfoil.
NACA airfoil,Manufacturability,"The manufacturability of NACA airfoils is influenced by their geometric parameters, such as camber and thickness ratio."
NACA airfoil,Airfoil chord,NACA airfoils are defined by their stations and ordinates in terms of the airfoil chord.
NACA airfoil,Aerodynamic characteristics,The Naca airfoil has specific aerodynamic characteristics depending on its design parameters
NACA airfoil,camber,The NACA airfoil has a camber line that increases from zero at the leading edge to approximately 4% chord at mid-chord and decreases linearly to zero at the trailing edge.
NACA airfoil,thickness,"The thickness of the NACA airfoil is defined by the formula t = 0.12 * (0.2 * (cosh(4πy / t)) - 1), where y is the distance from the chord line and t is the maximum thickness ratio."
NACA airfoil,manufacturability,"NACA airfoils are designed with manufacturability in mind, having a thickness distribution that facilitates construction using simple manufacturing methods like milling or stretching aluminum."
Maximum thickness,Airfoil,The location and magnitude of maximum thickness can be constrained in airfoil design
Maximum thickness,Pressure distribution,The position and size of the leading-edge radius affect the pressure distribution over the airfoil.
Maximum thickness,Thickness,The thickness of an airfoil has a maximum value at some point along its chord length.
Maximum thickness,Manufacturability,The manufacturability of the NACA 65-415 airfoil might be influenced by its maximum thickness (~0.2) and how it tapers towards the trailing edge.
Boundary layer,Airfoil,"The boundary layer of an airfoil can be disturbed by protuberances, leading to increased drag."
airfoil performance,lift,Lift is a crucial factor in the aerodynamic performance of an airfoil.
airfoil performance,angle of attack,Angle of attack is a crucial parameter affecting the lift and drag coefficients of an airfoil.
airfoil performance,Reynolds number,The Reynolds number affects the performance of an airfoil
airfoil performance,camber,Camber affects the lift and drag of an airfoil.
maximum thickness,airfoil shape,Maximum thickness location significantly contributes to the overall airfoil shape.
maximum thickness,camber,Maximum thickness location affects camber line's curvature.
maximum thickness,thickness ratio,Thickness ratio is a measure of the maximum thickness relative to chord length in an airfoil
maximum thickness,thickness,"Thickness varies along the chord length, with a maximum thickness point."
thickness ratio,NACA,The last three integers indicate the airfoil thickness ratio in percent of the chord.
thickness ratio,airfoil section,"An airfoil section has a thickness ratio, which is 0.1236 for NACA 4421"
thickness ratio,drag,Thicker airfoils have higher drag due to increased skin friction
thickness ratio,pressure distribution,"The thickness ratio affects the pressure distribution over an airfoil, with increases in thickness ratio resulting in higher favorable pressure gradients, maximum velocities, and relative pressure recovery"
thickness ratio,camber,Airfoils can have varied thicknesses and cambers for different design lift coefficients.
Reynolds Number,Drag,"Changes in Reynolds number affect the drag produced by an airfoil, especially with regards to boundary layer transition and separation."
Reynolds Number,Transition,The Reynolds number influences whether the boundary layer around an airfoil is laminar or turbulent.
Reynolds Number,Airfoil,The performance of an airfoil varies with changes in Reynolds Number
Reynolds Number,Lift Coefficient,The lift coefficient varies with changes in the Reynolds number.
Reynolds Number,Airfoil Thickness,The value of Reynolds Number affects which airfoil thickness provides the best aerodynamic efficiency.
Reynolds Number,Airfoil Performance,Variations in Reynolds Number affect airfoil performance.
Reynolds Number,Airfoil Section,The characteristics of an airfoil section are affected by variations in the Reynolds Number.
Reynolds Number,Performance,The Reynolds number can influence the aerodynamic characteristics of an airfoil at different speeds.
lift,camber,Camber is related to lift generation in airfoils
lift,airfoil shape,"The lift coefficient is a function of the airfoil shape, including parameters like camber and thickness ratio."
lift,airfoil,The lift carried by the airfoil induces an equal and opposite reaction upon the floor and ceiling of the tunnel.
lift,drag,"The design of leading-edge air intakes aims to maintain lift, drag, and critical-speed characteristics while providing low intake losses over a wide range of lift coefficients and intake velocity ratios."
lift,Camber,Camber affects lift generation in airfoils.
Lower surface,Upper surface,"Airfoils have both upper and lower surfaces, each defined by stations and corresponding ordinates."
Lower surface,Airfoil,Airfoil has a lower surface
Lower surface,NACA 2412,The NACA 2412 has a lower surface
Lift coefficient,Pressure distribution,"The pressure distribution is usually desired at some specified lift coefficient, and its integration determines the actual lift coefficient achieved."
Lift coefficient,Airfoil,The shape of an airfoil affects its lift coefficient
Lift coefficient,Angle of attack,The lift coefficient is a function of the angle of attack.
Lift coefficient,Drag,The drag increases with increasing lift coefficient due to the greater proportion of turbulent flow and larger average velocity over surfaces
Lift coefficient,NACA 6-series airfoils,"For the NACA 6-series airfoils, the lift coefficient is approximately in the center of the low-drag range"
Lift coefficient,Camber,The behavior of high-critical-speed and low-drag types of airfoils is explained by camber when operating at lift coefficients near their design values.
Lift coefficient,Airfoil performance,"The lift coefficient (C_z) of an airfoil, such as the NACA 4424, is a key parameter in its aerodynamic performance."
Lift coefficient,NACA airfoils,"The context mentions 'Section lift coefficient', implying that NACA airfoils have a lift coefficient"
Lift coefficient,Roughness,Roughness had no appreciable effect upon the maximum lift of those airfoils.
Lift coefficient,Airfoil thickness,Increasing airfoil thickness ratio from the optimum range (between 12 and 15 percent) generally causes a decrease in the critical lift coefficient.
Lift coefficient,Airfoil section,"The lift coefficient, cl, of the airfoil section varies with angle of attack and reaches a maximum value of about 0.8 at an angle of attack of 6 degrees."
Lift coefficient,Aerodynamic performance,The lift coefficient (c_l) is an important parameter in the aerodynamic performance of an airfoil.
airfoils,NACA,NACA is a series of airfoil designs
Transition,Reynolds number,Transition on an airfoil is affected by the Reynolds number.
Transition,Drag coefficient,The drag coefficient may be calculated with reasonable accuracy from boundary-layer theory if the location of transition is known or assumed
angle of attack,drag,Drag coefficient varies with angle of attack.
angle of attack,lift coefficient,"The lift coefficient increases with the angle of attack until stall occurs. For the NACA 64-009 airfoil, this occurs at an angle of approximately 15 degrees."
angle of attack,airfoil,Airfoils have angles of attack at which they operate
angle of attack,pressure distribution,Theoretical pressure distributions calculated at the true angle of attack are similar in shape to true distributions but give too high a lift
angle of attack,drag coefficient,The values for drag coefficient are lower at higher Reynolds numbers for the range of angle of attack.
Airfoil,Aerodynamic performance,"Airfoil shape and parameters significantly affect aerodynamic performance, including lift and drag."
Airfoil,Camber,"An airfoil has camber, which is the amount by which its mean line (the midpoint of its thickness) deviates from a straight line."
Airfoil,Thickness,"An airfoil has thickness, which varies along its chord length."
Airfoil,Pressure distribution,"Eliminating these bumps may greatly reduce the error for the transonic case, improving the pressure distribution over the airfoil."
Airfoil,Thickness distribution,The shape of an airfoil is defined by its thickness distribution.
Airfoil,Angle of attack,The flow around an airfoil follows its contour smoothly at all angles of attack according to perfect-fluid theory.
Airfoil,Drag coefficient,The drag coefficient is a measure of how efficient an airfoil is at producing lift with minimal drag.
Airfoil,NACA ACR No. L5C05,NACA ACR No. L5C05 is a type of airfoil.
Airfoil,NACA 0012,NACA 0012 is an example airfoil used in the CST imitation residual demonstration.
Airfoil,Mach number,The local Mach number at the airfoil mid-chord was determined by considering the flow conditions near the sidewall of the test channel directly ahead of the wing.
Airfoil,RRIFOIL,RRIFOIL is a type of Airfoil.
Airfoil,Upper Surface,An airfoil has an upper surface
Airfoil,Lower Surface,An airfoil has a lower surface
Airfoil,NACA,The airfoil is defined using NACA notation
Airfoil,Camber Line,The airfoil has a camber line that determines its lifting performance.
Airfoil,Pressure Distribution,The shape and design parameters of an airfoil influence its pressure distribution.
Airfoil,NACA airfoils,The given context provides data points for NACA airfoils
Airfoil,Drag,"An airfoil also has a drag coefficient, which represents the aerodynamic drag force acting on it."
Airfoil,Upper surface,Airfoil has an upper surface
Airfoil,Aerodynamic characteristics,"Airfoil section characteristics include lift, drag, and moment coefficients"
Airfoil,NACA 2412,NACA 2412 is an example of an airfoil
Airfoil,NACA 23012,NACA 23012 is a type of airfoil
Airfoil,Lift Coefficient,"Airfoils have varying lift coefficients, with symmetrical airfoils operating at their optimum lift coefficient."
Airfoil,camber,An airfoil has a certain amount of camber.
Airfoil,Thickness ratio,"Airfoil thickness is defined by its thickness ratio, which affects performance and manufacturability."
Airfoil,Lift,"The aerodynamic performance of an airfoil includes its lift coefficient, which is related to its camber and thickness."
Airfoil,Reynolds number,Airfoil characteristics vary with Reynolds number
Airfoil,Manufacturability,"The manufacturability of an airfoil is influenced by its shape, with simpler shapes being easier to manufacture."
Airfoil,Maximum lift coefficient,The maximum lift coefficient increases less rapidly with flap deflection for highly cambered sections compared to less cambered ones.
Airfoil,"NACA 66,2-018","NACA 66,2-018 is an airfoil."
Airfoil,manufacturability,The manufacturability of an airfoil can affect its performance and cost
Airfoil,thickness,Airfoil thickness affects manufacturability.
Airfoil,Chord length,"Airfoils have a defined chord length, typically denoted by 'c'."
Airfoil thickness,Drag divergence Mach number,Decreasing airfoil thickness results in increases in drag divergence Mach number at zero lift.
Airfoil thickness,Manufacturability,The thickness of an airfoil affects its manufacturability
Airfoil thickness,Drag coefficient,The rate of increase of drag with thickness is greater for rough condition airfoils.
Airfoil thickness,L.E. radius,"The L.E. radius is a measure of airfoil thickness, with values 1.498 and 2.884 for the given airfoils."
Airfoil thickness,Airfoil performance,"Thicker airfoils may have better low-speed performance but higher drag at high speeds, affecting the critical Mach number."
manufacturability,airfoil,"Airfoil manufacturability depends on parameters like maximum thickness, camber, and trailing edge angle."
manufacturability,camber location,Mid-airfoil camber is more manufacturable than leading-edge or trailing-edge camber.
manufacturability,airfoil shape,"The slots in the airfoil when not in use are filled to present a continuous smooth surface, affecting manufacturability"
manufacturability,airfoil design,"Manufacturability is a consideration in airfoil design, balancing performance with ease of construction."
manufacturability,thickness,"Thicker airfoils might be easier to manufacture but may result in higher drag, affecting the overall performance-manufacturability trade-off."
pressure distribution,airfoil design,Knowledge of pressure distribution over an airfoil is desirable for structural design and estimation of critical parameters.
pressure distribution,airfoil,Airfoils have pressure distributions over their surface
pressure distribution,drag coefficient,The pressure distribution over an airfoil affects its drag coefficient
airfoil design,NACA airfoils,"NACA airfoils are a series of airfoil shapes designed for specific aerodynamic performance characteristics, often used in airfoil design and analysis."
Grid sensitivity,Design parameters,The grid sensitivity of the domain with respect to design parameters has been obtained by direct differentiation of the grid equations.
Lower Surface,RRIFOIL,Lower Surface is a part of RRIFOIL.
Lower Surface,X/C,The lower surface of an airfoil is defined by points at different x/c locations
Lower Surface,Cp,Pressure coefficient (Cp) varies along the lower surface of an airfoil
Lower Surface,NACA 0012,NACA 0012 has ordinates given for the Lower Surface at different stations in percent of airfoil chord.
Lower Surface,Upper Surface,The upper and lower surfaces of the airfoil are defined by their respective ordinates at various stations along the chord.
Airfoil Section,Camber Line,The camber line of an airfoil section is a curve that connects the points where the upper and lower surfaces have equal ordinates.
Airfoil Section,Performance,"The shape and design parameters of an airfoil section significantly affect its aerodynamic performance, including lift and drag coefficients."
Airfoil Section,Pressure Distribution,The pressure distribution is determined by the shape of the airfoil section.
Airfoil Section,Angle of Attack,The angle of attack affects the lift coefficient and is defined as the angle between the chord line and the direction of the airflow.
Airfoil Section,Lift Coefficient,The lift coefficient is a measure of the aerodynamic force generated by an airfoil section.
Airfoil Section,Camber,The camber line affects the lift coefficient and is defined as the line equidistant from both the upper and lower surfaces of an airfoil section.
Airfoil Performance,Lift Coefficient,The lift coefficient is a key parameter in airfoil performance.
Airfoil Performance,Camber,"Camber affects the performance of an airfoil, particularly in relation to stall and lift coefficient."
Airfoil Performance,Lift,"Airfoil performance includes lift, which varies with angle of attack and airfoil shape."
Airfoil Performance,Drag,"Airfoil performance also includes drag, which affects the efficiency of an airfoil."
Chord length,NACA 2412,The chord length of NACA 2412 is 24 inches.
Chord length,Airfoil section,"An airfoil section has a chord length, in this case, 24 inches."
